date,state,cases,deaths
09-03-2020,Colorado,3,0
09-03-2020,Colorado,2,0
09-03-2020,Colorado,1,0
09-03-2020,Colorado,1,0
09-03-2020,Colorado,1,0
09-03-2020,Connecticut,2,0
09-03-2020,District of Columbia,4,0
09-03-2020,Florida,3,0
09-03-2020,Florida,1,0
09-03-2020,Florida,2,0
09-03-2020,Florida,2,1
09-03-2020,Florida,2,0
09-03-2020,Florida,1,0
09-03-2020,Florida,1,1
09-03-2020,Florida,2,0
09-03-2020,Georgia,1,0
09-03-2020,Georgia,4,0
09-03-2020,Georgia,2,0
09-03-2020,Georgia,1,0
09-03-2020,Georgia,1,0
09-03-2020,Georgia,5,0
09-03-2020,Georgia,2,0
09-03-2020,Georgia,1,0
09-03-2020,Hawaii,2,0
09-03-2020,Illinois,11,0
09-03-2020,Indiana,2,0
09-03-2020,Indiana,1,0
09-03-2020,Indiana,1,0
09-03-2020,Iowa,7,0
09-03-2020,Iowa,1,0
09-03-2020,Kansas,1,0
09-03-2020,Kentucky,3,0
09-03-2020,Kentucky,1,0
09-03-2020,Kentucky,1,0
09-03-2020,Louisiana,1,0
09-03-2020,Maryland,1,0
09-03-2020,Maryland,4,0
09-03-2020,Maryland,1,0
09-03-2020,Massachusetts,5,0
